Name,Type,Address,County,City,State,Zip_code,Latitude,Longitude,NumPanels,YearlyEnergy (kWh),SolarArea (m²)
Omelette House,"restaurant, point_of_interest, food, establishment","7127 Hodgson Memorial Dr, Savannah, GA 31406, USA",Chatham County,Savannah,GA,31406,32.0065505,-81.1105901,371,224502.25,728.4789
The Original Pancake House,"restaurant, point_of_interest, food, store, establishment","7201 Hodgson Memorial Dr B, Savannah, GA 31406, USA",Chatham County,Savannah,GA,31406,32.004833,-81.111269,563,350278.28,1105.4814
The Palace Diner on Abercorn,"restaurant, point_of_interest, food, establishment","7202 Abercorn St, Savannah, GA 31406, USA",Chatham County,Savannah,GA,31406,32.01076640000001,-81.1138325,35,21968.637,68.72442
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","1825 Barnett Shoals Rd, Athens, GA 30605, USA",Clarke County,Athens,GA,30605,33.926397,-83.33999570000002,192,118922.73,377.00253
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","2034 S Milledge Ave, Athens, GA 30605, USA",Clarke County,Athens,GA,30605,33.9230845,-83.3792623,55,34274.938,107.995514
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","1310 Oconee St, Athens, GA 30605, USA",Clarke County,Athens,GA,30605,33.9476799,-83.3585228,48,30167.635,94.25063
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","8000 Macon Hwy, Athens, GA 30606, USA",Oconee County,Athens,GA,30606,33.8898012,-83.4126311,46,28371.936,90.323524
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","461 Calhoun Dr, Athens, GA 30601, USA",Clarke County,Athens,GA,30601,33.9865007,-83.34500109999999,47,29490.828,92.28708
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","1710 Epps Bridge Pkwy, Athens, GA 30606, USA",Oconee County,Athens,GA,30606,33.9138394,-83.44761869999999,60,37911.113,117.81329
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","140 W Clayton St, Athens, GA 30601, USA",Clarke County,Athens,GA,30601,33.958209,-83.3776602,129,70036.66,253.29858
Waffle House,"restaurant, food, point_of_interest, establishment","9008 US-29, Hull, GA 30646, USA",Madison County,Hull,GA,30646,34.03161559999999,-83.3164906,200,111651.08,392.71097
Waffle House Museum,"museum, point_of_interest, establishment","2719 E College Ave, Decatur, GA 30030, USA",DeKalb County,Decatur,GA,30030,33.7745551,-84.2784502,107,65131.24,210.10037
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","3335 S Cobb Dr SE, Smyrna, GA 30080, USA",Cobb County,Smyrna,GA,30080,33.872575,-84.5288633,21,11752.028,41.234653
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","2316 S Cobb Dr SE, Smyrna, GA 30080, USA",Cobb County,Smyrna,GA,30080,33.8961083,-84.5397862,31,16927.143,60.8702
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","621 Johnson Ferry Rd, Marietta, GA 30068, USA",Cobb County,Marietta,GA,30068,33.964011,-84.4121322,29,16977.69,56.943092
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","550 N Greenbriar Pkwy, Marietta, GA 30062, USA",Cobb County,Marietta,GA,30062,33.9637106,-84.4942968,25,14947.654,49.08887
